state,year,co2_per_cap,gdp_per_cap,pop_size,region,firm_num,employees,payroll_thousands,fossil_fuels,renewables,petroleum,coal,natural_gas
Illinois,2002,18.09899696,48918,12525556,Midwest,487,9803,581532.6653,3237119,111230,1224322,986832,1063528
Indiana,2002,37.67076724,40969,6155967,Midwest,227,5693,309924.148,2939607,55263,864101,1547530,543346
Iowa,2002,26.27602298,40072,2934234,Midwest,82,1762,80539.63238,1034129,85165,406845,441534,227137
Kansas,2002,28.33941703,40169,2713535,Midwest,804,6795,312809.2103,1062264,19527,365612,391664,307432
Kentucky,2002,36.52923378,36161,4089875,West,528,20956,1070614.53,1871804,65018,686926,950941,236125
Louisiana,2002,46.82844047,41756,4497267,West,1170,44132,2658432.826,3703360,144058,1998903,232109,1475464
Maine,2002,18.5190901,37584,1295960,Northeast,32,0,0,364609,140393,230335,8000,126280
Maryland,2002,14.300448,47714,5440389,West,79,1944,96656.14606,1074775,41120,548507,325834,203538
Massachusetts,2002,12.96514402,55234,6417206,Northeast,88,1254,84402.68188,1235051,46788,712311,118358,404597
Michigan,2002,18.90030762,41907,10015710,Midwest,400,5150,312979.7617,2718364,99468,1004024,739866,984715
Minnesota,2002,19.44635665,47944,5018935,Midwest,143,5230,335137.1355,1387050,103930,673526,360822,374184
Mississippi,2002,21.96817343,29056,2858681,West,304,4437,218390.5082,937857,49642,428969,154339,354550
Missouri,2002,23.33111594,41421,5674825,Midwest,203,4427,195799.0035,1729447,37806,730168,725679,278936
Montana,2002,33.67457635,32851,911667,South,266,4701,273439.2616,399064,108730,161872,166322,70992
Nebraska,2002,24.53289143,42746,1728292,Midwest,124,929,41340.23512,561881,44190,225660,217939,121175
Nevada,2002,19.04506919,48489,2173791,South,178,8202,553858.0125,580595,42511,237867,164775,181010
New Hampshire,2002,13.8682157,45311,1269089,Northeast,45,507,26687.12426,242705,28898,176784,39845,26146
New Jersey,2002,14.21782717,54842,8552643,Northeast,99,2406,152391.8759,1902698,28691,1180843,104849,620750
New Mexico,2002,29.80635571,38421,1855309,South,536,13793,750615.9205,757243,8195,244055,284132,229691
New York,2002,10.54980196,55039,19137800,Northeast,316,3845,250773.8116,3069756,364285,1562280,280584,1227224
North Carolina,2002,17.48696675,42443,8326201,West,115,3342,155745.6564,1892103,130790,883590,770928,243144
North Dakota,2002,80.54305449,37893,638168,Midwest,167,3791,254770.4398,608155,21725,124543,422809,66927
Ohio,2002,23.01039219,42818,11407889,Midwest,631,11430,569753.8827,3532620,55045,1290151,1396899,862535
Oklahoma,2002,29.17674573,35316,3489080,West,2023,26213,1428799.961,1464155,40919,550245,391379,522530
Oregon,2002,11.15720733,37669,3513424,South,131,1592,73193.99427,611330,403576,369663,37751,206813
Pennsylvania,2002,21.9932948,42756,12331031,Northeast,735,16037,885759.4414,3563086,97106,1405740,1457349,700579
Rhode Island,2002,10.97566124,43041,1065995,Northeast,22,0,0,188115,3735,98250,76,89824
South Carolina,2002,19.815984,36341,4107795,West,54,1381,55791.78521,1074619,80640,479450,404455,190717
South Dakota,2002,18.15741691,40062,760020,Midwest,48,950,52958.00762,199403,52262,119964,39957,41536
Tennessee,2002,21.72218448,39514,5795918,West,141,3609,154247.6663,1658245,148359,738649,655906,263691
Texas,2002,30.23928872,44661,21690325,West,5257,115446,8327493.143,11969591,123452,5977151,1550325,4444508
Utah,2002,26.79783123,38764,2324815,South,279,7012,410314.5355,801475,11229,258905,370551,172366
Vermont,2002,10.39903029,38541,615442,Northeast,54,0,0,93027,22714,84603,25,8401
Virginia,2002,16.37190603,47962,7286873,West,258,10256,506852.6075,1605983,82141,861503,482759,266981
Washington,2002,12.0944777,48855,6052349,South,159,2589,145770.1869,1078502,893633,743027,100832,240494
West Virginia,2002,65.19280342,32506,1805414,West,551,21698,1256596.688,1377958,16223,230039,993467,155536
Wisconsin,2002,19.68720123,42694,5445162,Midwest,156,2298,140223.0911,1482040,110895,613101,491990,388007
Wyoming,2002,124.1957773,53921,500017,South,657,16051,1033888.724,748034,12275,150287,480360,117387
Alabama,2003,30.93155954,34855,4503491,West,217,7132,433884.6389,1796405,284707,563460,873735,360505
Alaska,2003,67.2409911,59008,648414,South,111,6916,743449.5412,713898,19598,285679,12552,415891
Arizona,2003,16.26026883,40769,5510364,South,159,7638,407752.0823,1219677,84459,538595,406537,275650
Arkansas,2003,22.79052971,33678,2724816,West,248,3323,168683.7397,865888,107944,357665,253653,254571
California,2003,10.60330508,49501,35253159,South,656,18148,1181663.172,5909544,768779,3572992,69469,2317062
Colorado,2003,19.91727486,50743,4528732,South,855,12402,989522.174,1288997,28796,465004,394163,442361
Connecticut,2003,12.28354556,61419,3484336,Northeast,57,647,42801.27439,633749,33004,436371,41864,157310
Delaware,2003,20.17107517,67956,818003,West,14,0,0,231638,1397,136670,46997,47978
District of Columbia,2003,6.860134177,152623,568502,West,7,0,0,63672,923,29798,173,33700
Florida,2003,14.46123093,40983,17004085,West,223,6225,350172.5254,3371725,191074,1933067,723832,714826
Georgia,2003,19.63400954,45453,8622793,West,134,6450,327887.3137,2244135,221690,1034344,819031,390774
Hawaii,2003,17.18413561,46437,1251154,South,9,0,0,287667,13429,269486,18044,2861
Idaho,2003,10.56198565,34034,1363380,South,108,1566,81372.68523,222398,108866,140425,10219,71754
Illinois,2003,18.32589121,49495,12556006,Midwest,481,9561,584743.9411,3251729,126791,1272797,1010087,1013464
Indiana,2003,38.35951043,42099,6196638,Midwest,220,5497,323769.4069,3024153,57435,897747,1570700,572890
Iowa,2003,26.03671857,41665,2941999,Midwest,80,1775,84968.12756,1018527,93612,385173,444587,230851
Kansas,2003,28.86517978,40944,2723004,Midwest,799,6968,338962.8622,1095135,21890,424414,389464,284722
Kentucky,2003,35.2912316,36731,4117170,West,515,17768,946397.8579,1820496,70460,650340,943652,231486
Louisiana,2003,45.8080239,43275,4521042,West,1136,43262,2924078.9,3561398,152583,1964209,247978,1353179
Maine,2003,18.06334878,38136,1306513,Northeast,30,0,0,346829,132354,265831,7481,73523
Maryland,2003,14.66449331,48471,5496269,West,74,1812,86902.87904,1105086,54157,571171,329590,204511
Massachusetts,2003,13.15673722,56380,6422565,Northeast,94,1331,88121.57422,1255558,50403,731288,109373,415303
Michigan,2003,18.57356606,42581,10041152,Midwest,390,5482,344164.1832,2668035,112614,982234,747940,950714
Minnesota,2003,20.10459137,49769,5053572,Midwest,140,5207,293378.9976,1436926,107490,695409,390691,374231
Mississippi,2003,22.45222974,30139,2868312,West,298,0,0,935258,45347,481163,178949,275147
Missouri,2003,24.38083281,42043,5709403,Midwest,195,3984,185695.3249,1800742,34636,747467,795634,266204
Montana,2003,35.66651806,33848,919630,South,255,4486,275935.9127,416250,100453,157326,188981,70048
Nebraska,2003,25.01951234,44904,1738643,Midwest,113,829,37297.90353,576480,45527,232603,227290,119754
Nevada,2003,19.38768704,49271,2248850,South,171,8186,580523.4073,613060,37194,243032,182553,191050
New Hampshire,2003,16.33016627,46621,1279840,Northeast,40,395,23608.86621,298382,29851,200334,41633,56475
New Jersey,2003,14.31162036,55897,8601402,Northeast,90,2156,153546.2627,1889588,26720,1147132,106857,636180
New Mexico,2003,30.6778854,39578,1877574,South,538,13511,739455.2531,779479,8755,249130,305641,225220
New York,2003,11.0711658,54756,19175939,Northeast,310,3695,220538.3449,3178478,359273,1762860,286179,1131362
North Carolina,2003,17.39388336,42871,8422501,West,114,3512,166974.0678,1899946,188854,908236,771618,227387
North Dakota,2003,79.83507014,40213,638817,Midwest,158,4175,258721.406,598766,24177,122791,420832,61455
Ohio,2003,23.62964665,43445,11434788,Midwest,624,9442,486069.283,3627474,63575,1321681,1443498,878930
Oklahoma,2003,29.6728116,35780,3504892,West,2037,26823,1563938.111,1496091,41958,545995,393790,556306
Oregon,2003,11.1631809,38870,3547376,South,128,1595,72676.21638,618274,386743,360492,44884,215107
Pennsylvania,2003,22.21475535,43553,12374658,Northeast,725,18007,1078356.306,3627653,110544,1448772,1461986,717593
Rhode Island,2003,10.73420066,44625,1071342,Northeast,22,0,0,183493,3826,103091,101,80339
South Carolina,2003,19.7335275,37283,4150297,West,55,1436,60893.94137,1067823,103797,496257,419663,151920
South Dakota,2003,17.9383001,40909,763729,Midwest,55,1003,49753.08488,199433,57210,114577,43017,43925
Tennessee,2003,21.20451205,40463,5847812,West,139,2986,131819.6683,1643706,184192,756474,621425,265807
Texas,2003,29.47219979,44330,22030931,West,5187,115092,8190600.723,11808273,117444,6029105,1603971,4177143
Utah,2003,26.69336568,39094,2360137,South,292,6846,399572.247,819158,10520,276712,379185,163527
Vermont,2003,10.68206611,39886,617858,Northeast,51,0,0,95595,24054,87130,25,8451
Virginia,2003,16.75042558,49191,7366977,West,245,9954,511348.1698,1671416,110947,941777,464353,272436
Washington,2003,12.3195582,49149,6104115,South,159,2647,151192.8399,1097636,834731,729216,118207,255839
West Virginia,2003,63.01402366,32396,1812295,West,514,20283,1199943.6,1325468,21237,213111,978415,135367
Wisconsin,2003,19.19987268,43568,5479203,Midwest,153,2656,156920.1241,1466590,118277,589640,488239,397869
Wyoming,2003,127.1220948,54930,503453,South,675,16824,1069476.741,773608,11635,159278,493897,120433
Alabama,2004,31.25324865,36702,4530729,West,216,6670,413171.6862,1856239,293223,612913,853917,391927
Alaska,2004,70.83420549,60137,659286,South,110,7058,715250.9122,756177,18857,334599,14075,407944
Arizona,2004,17.09007353,41063,5652404,South,178,8037,433673.6551,1340408,82765,559794,425413,356264
Arkansas,2004,22.69350028,34936,2749686,West,258,3706,183087.8519,849511,112946,361380,270210,217921
California,2004,11.02472732,51520,35574576,South,654,18779,1356229.32,6204346,769093,3745373,68909,2462247
Colorado,2004,20.37152681,50083,4575013,South,871,13572,1108472.588,1322498,29097,498335,390186,446103
Connecticut,2004,12.75709406,65034,3496094,Northeast,64,867,68735.88308,661553,43007,464459,43997,166057
Delaware,2004,19.9806693,69500,830803,West,27,0,0,230854,1430,127533,53599,49739
District of Columbia,2004,7.045304833,160065,567754,West,6,0,0,64390,940,30552,741,33097
Florida,2004,14.7743498,41736,17415318,West,222,6211,338631.152,3552925,182608,2096203,699055,757672
Georgia,2004,19.89907463,46599,8769252,West,135,6448,333828.2035,2321866,226770,1080440,834991,406441
Hawaii,2004,17.66688731,48373,1273569,South,8,125,8093.121556,300992,13919,282923,17913,2907
Idaho,2004,11.20849086,34665,1391802,South,119,0,0,247182,112076,156574,12336,78273
Illinois,2004,18.84863214,50479,12589773,Midwest,489,9136,542214.1585,3312716,126026,1321017,1069538,966552
Indiana,2004,38.1677736,43143,6233007,Midwest,219,5652,330225.7081,3006306,57973,876961,1614210,531441
Iowa,2004,26.71284705,44605,2953635,Midwest,75,1947,101558.1134,1057896,111196,426027,443221,227500
Kansas,2004,27.64802022,40748,2734373,Midwest,819,7744,371376.1535,1059341,19515,414073,385498,260117
Kentucky,2004,36.61271156,37463,4146101,West,523,18134,1024072.892,1900199,71092,709342,961759,233361
Louisiana,2004,47.84459863,44706,4552238,West,1114,42210,2858893.486,3722004,189669,2076168,256716,1393140
Maine,2004,18.26917807,39089,1313688,Northeast,26,0,0,357353,136781,260436,7336,89581
Maryland,2004,14.71082679,50547,5546935,West,71,1798,89294.63784,1119642,53456,590627,327239,201929
Massachusetts,2004,12.92831677,57699,6412281,Northeast,89,1389,98710.87006,1225441,51759,737435,105075,383708
Michigan,2004,18.77613978,42384,10055315,Midwest,394,5478,330941.21,2693277,118099,994136,773825,938628
Minnesota,2004,19.81243832,51256,5087713,Midwest,131,5061,364185.9272,1430093,114684,711179,378775,362418
Mississippi,2004,22.81058217,30509,2889010,West,284,3840,196765.2955,956258,61253,480755,184992,290512
Missouri,2004,24.42698792,42643,5747741,Midwest,185,3841,192544.97,1820898,44032,753136,807466,269224
Montana,2004,36.98888935,34870,930009,South,272,4978,318630.0344,440391,101636,176336,195620,68567
Nebraska,2004,24.75176778,45488,1749370,Midwest,122,0,0,573534,52083,236890,223624,116045
Nevada,2004,20.33055695,52310,2346222,South,168,9256,679115.7946,675588,38043,263973,193634,221648
New Hampshire,2004,16.97515194,47472,1290121,Northeast,43,0,0,312854,34927,205579,43446,63924
New Jersey,2004,14.58093816,56261,8634561,Northeast,90,2473,167627.3322,1922599,27514,1165925,112707,645017
New Mexico,2004,30.83294114,41558,1903808,South,556,15508,848145.7376,794602,11711,256575,309418,229164
New York,2004,11.21452409,56259,19171567,Northeast,318,4046,238655.0928,3227652,383244,1848945,276470,1126605
North Carolina,2004,17.50231961,43866,8553152,West,119,3358,174203.1354,1946711,147620,939621,782692,232214
North Dakota,2004,76.77930216,40099,644705,Midwest,159,4055,288355.218,587994,24081,134046,398381,61245
Ohio,2004,23.12209189,44434,11452251,Midwest,627,9601,493913.237,3558113,66661,1319805,1391290,862912
Oklahoma,2004,28.36691929,36634,3525233,West,2083,28089,1748888.815,1455006,62062,527640,372093,555273
Oregon,2004,11.40227536,42196,3569463,South,130,0,0,643204,387020,371016,36460,238052
Pennsylvania,2004,22.38387098,44585,12410722,Northeast,701,19282,1163493.549,3673927,117865,1483879,1474310,723325
Rhode Island,2004,10.14350736,46310,1074579,Northeast,25,0,0,172889,4532,99149,76,74352
South Carolina,2004,21.23050991,37124,4210921,West,55,1305,58663.20625,1173494,97433,570109,433868,169519
South Dakota,2004,17.91286559,42046,770396,Midwest,53,981,50330.44834,198542,60227,115141,43562,41762
Tennessee,2004,21.31687896,41777,5910809,West,139,2746,125143.5548,1652678,179816,765912,648005,238761
Texas,2004,28.69515674,45691,22394023,West,5360,119608,8509485.744,11880701,123168,6217190,1626029,4039787
Utah,2004,27.23207222,40089,2401580,South,309,6578,433831.5198,841464,10713,277735,399704,164154
Vermont,2004,11.29177958,41165,619920,Northeast,55,0,0,104101,22041,95367,25,8720
Virginia,2004,17.02879043,50400,7475575,West,237,10101,553370.3096,1734492,117971,1003459,452557,285757
Washington,2004,12.47846413,49407,6178645,South,156,2822,164205.4159,1132016,819486,751792,112539,269572
West Virginia,2004,61.27376767,32862,1816438,West,499,20505,1231327.673,1296909,20763,232018,937062,129358
Wisconsin,2004,19.51387244,44455,5514026,Midwest,147,3508,230822.0505,1491919,108646,615421,499212,385999
Wyoming,2004,125.5141365,55848,509106,South,695,17976,1136529.349,765533,14033,153129,500526,111878
Alabama,2005,31.35801199,37578,4569805,West,218,7427,445622.8986,1860797,279774,607467,890098,363398
Alaska,2005,71.96984464,61125,666946,South,102,6780,681736.6306,781037,16659,333131,13994,434704
Arizona,2005,16.56083658,43018,5839077,South,178,8882,487015.4675,1332032,92475,588023,428445,329302
Arkansas,2005,21.6461346,35649,2781097,West,269,3999,209984.8171,822384,112562,358711,247169,216600
California,2005,10.86861169,53320,35827943,South,657,19651,1560113.503,6115996,819700,3823079,67422,2304463
Colorado,2005,20.59635293,51473,4631888,South,927,16191,1348289.798,1355314,35535,493925,386670,483960
Connecticut,2005,12.57500807,66032,3506956,Northeast,59,911,68091.60513,657592,29229,447828,42023,171429
Delaware,2005,20.58806129,67525,845150,West,23,0,0,240843,1878,136415,56716,48639
District of Columbia,2005,6.876657451,163100,567136,West,5,0,0,63369,260,28892,939,33753
Florida,2005,14.60595477,43326,17842038,West,217,5588,315893.3744,3609979,190870,2136625,672309,805446
Georgia,2005,20.72615019,47610,8925922,West,130,6494,364545.928,2450179,218385,1123714,901010,427825
Hawaii,2005,17.7918187,50145,1292729,South,8,0,0,310623,14290,295104,16506,2898
Idaho,2005,11.06255877,35895,1428241,South,130,2071,115151.3342,249247,122255,161013,11286,78118
Illinois,2005,19.33401074,51237,12609903,Midwest,497,9934,611089.9151,3426160,107799,1436229,1047532,984187
Indiana,2005,37.71531815,42826,6278616,Midwest,209,5591,330411.147,2990349,63432,873127,1594399,540671
Iowa,2005,26.58162346,45554,2964454,Midwest,70,1942,100568.7501,1071089,124650,433490,429777,242788
Kansas,2005,26.26307736,41736,2745299,Midwest,878,8004,418604.1989,980598,22795,344672,379823,258695
Kentucky,2005,36.79404563,38205,4182742,West,554,20198,1180670.82,1925961,74396,708378,986263,240869
Louisiana,2005,46.01641208,47004,4576628,West,1125,44247,3014113.03,3602529,151485,1981681,253518,1367497
Maine,2005,17.51609623,38961,1318787,Northeast,30,0,0,335943,160070,264446,7059,64818
Maryland,2005,14.93103382,51960,5592379,West,74,1999,96985.4439,1145584,48535,609336,329304,212230
Massachusetts,2005,13.19634126,58776,6403290,Northeast,88,1400,101193.7964,1243449,46903,743882,119333,386385
Michigan,2005,18.96302876,42919,10051137,Midwest,394,5464,359679.5742,2707276,130668,997937,799463,927535
Minnesota,2005,19.90390652,52246,5119598,Midwest,133,5372,409787.64,1453089,123122,719289,379114,372239
Mississippi,2005,22.09265633,30813,2905943,West,289,4246,236063.201,943241,62798,456358,176286,310713
Missouri,2005,24.74828593,42806,5790300,Midwest,174,4257,201610.9535,1852077,54315,752881,835663,273401
Montana,2005,37.76185988,36120,940102,South,281,5552,357024.5003,453599,114892,183918,199495,71089
Nebraska,2005,24.80844418,46062,1761497,Midwest,117,943,41321.16637,577874,51512,230597,228667,120141
Nevada,2005,20.51688573,54790,2432143,South,186,9483,626181.1046,709629,38201,279472,197799,236007
New Hampshire,2005,16.40364361,48357,1298492,Northeast,45,326,20772.63016,307662,42479,191742,44169,73022
New Jersey,2005,15.09482114,56768,8651974,Northeast,90,2305,151105.2308,1977285,29246,1236161,125332,625881
New Mexico,2005,30.68922937,41193,1932274,South,579,15516,917856.9536,798068,23501,255844,317916,225352
New York,2005,11.05965156,58502,19132610,Northeast,312,4095,258011.2259,3172408,373646,1816376,256879,1107220
North Carolina,2005,17.6901551,45042,8705407,West,121,3518,190123.9417,1997622,147441,950308,811939,237525
North Dakota,2005,81.1033774,41272,646089,Midwest,171,4368,300563.8105,617490,22657,138552,431133,54960
Ohio,2005,23.70168503,44684,11463320,Midwest,656,10051,544212.1522,3623658,73229,1300588,1481045,861477
Oklahoma,2005,30.18094193,37662,3548597,West,2213,31155,2086187.228,1556469,64934,562681,397379,600011
Oregon,2005,11.37495219,42558,3613202,South,129,0,0,650003,368091,378770,35624,239539
Pennsylvania,2005,22.57833139,45035,12449990,Northeast,716,17451,994691.5182,3710001,108990,1504789,1490836,719255
Rhode Island,2005,10.48771626,47176,1067916,Northeast,25,0,0,179787,1915,98286,76,82460
South Carolina,2005,20.58475698,37397,4270150,West,55,1266,61194.12524,1157282,105436,549113,431086,178397
South Dakota,2005,17.15038047,42762,775493,Midwest,53,0,0,198161,61421,120695,36952,42853
Tennessee,2005,21.24833731,41868,5991057,West,135,2768,132432.9321,1679403,173789,795166,657711,238400
Texas,2005,27.153247,45966,22778123,West,5635,126966,9965279.9,11286024,138965,6038413,1627863,3621139
Utah,2005,27.30173791,41657,2457719,South,359,7753,523651.5325,862094,15758,289925,405546,168770
Vermont,2005,10.94629074,41588,621215,Northeast,48,0,0,99033,24493,90777,25,8406
Virginia,2005,17.05136724,52305,7577105,West,231,10088,619776.8511,1769449,132442,1005043,458452,311736
Washington,2005,12.54533701,51956,6257305,South,158,2983,171776.799,1153564,815046,776443,112284,272167
West Virginia,2005,62.29085324,33628,1820492,West,506,23040,1460494.956,1316091,28724,231838,959657,124984
Wisconsin,2005,19.99579529,45131,5546166,Midwest,150,3555,261500.0611,1535462,144897,611542,522521,415583
Wyoming,2005,123.1141461,57642,514157,South,725,19443,1299187.958,759172,19272,155920,490940,112863
Alabama,2006,31.47560986,37735,4628981,West,222,7975,465786.857,1900475,266317,611905,886678,402044
Alaska,2006,67.82150801,64349,675302,South,100,7583,819763.3294,732217,14095,342314,14981,375719
Arizona,2006,16.56952458,44086,6029141,South,172,10030,561404.806,1380388,95858,597715,431985,365230
Arkansas,2006,22.00753359,35803,2821761,West,290,5017,286596.3175,856790,100099,359087,256907,240885
California,2006,11.03794371,54842,36021202,South,680,21285,1727856.096,6232667,898553,3867746,67017,2375929
Colorado,2006,20.42189863,51515,4720423,South,1035,19597,1640968.611,1360715,42167,510857,394348,465259
Connecticut,2006,11.65613824,67458,3517460,Northeast,51,1137,80188.52461,613685,35734,402053,45722,175963
Delaware,2006,18.85325649,67857,859268,West,17,196,16283.95424,224177,3597,125501,56625,44788
District of Columbia,2006,5.607335797,164366,570681,West,6,0,0,52330,607,23119,0,29775
Florida,2006,14.26213148,43926,18166990,West,232,5582,323518.8163,3634166,195679,2026748,696215,917468
Georgia,2006,19.93269194,47013,9155813,West,135,6594,376498.6008,2416683,210663,1093452,892732,433924
Hawaii,2006,17.78991259,50631,1309731,South,9,0,0,311836,15552,296907,16102,2914
Idaho,2006,10.7580401,36931,1468669,South,135,2202,131335.8055,252733,147637,166608,8212,79041
Illinois,2006,18.62550128,52486,12643955,Midwest,492,10164,610910.0701,3284570,103664,1373002,1045398,908302
Indiana,2006,37.10915571,43279,6332669,Midwest,226,5882,346978.4798,2948043,54445,874614,1587100,504740
Iowa,2006,26.85536725,45908,2982644,Midwest,67,1964,95799.92238,1080308,142213,440613,435187,241316
Kansas,2006,26.20405649,43593,2762931,Midwest,929,9810,513039.2697,985347,27870,354472,364212,269274
Kentucky,2006,37.2105017,38856,4219239,West,570,22665,1301491.477,1941105,69121,710543,1023263,217169
Louisiana,2006,51.85158501,49164,4302665,West,1227,49273,3591016.294,3746719,149628,2134970,265214,1346690
Maine,2006,16.09224407,39288,1323619,Northeast,31,0,0,309570,152922,235957,6618,67557
Maryland,2006,13.71867163,52697,5627367,West,72,1814,86766.16943,1053010,59327,552897,324657,189221
Massachusetts,2006,11.93432099,59706,6410084,Northeast,82,1247,82439.2476,1139143,62090,665452,112173,378078
Michigan,2006,17.8755034,42206,10036081,Midwest,395,5937,362189.7491,2518412,129277,946406,773595,816993
Minnesota,2006,19.23093683,51598,5163555,Midwest,130,5025,391209.7093,1410901,127801,697917,370814,358211
Mississippi,2006,22.82289229,31513,2904978,West,299,4240,253823.024,975965,63186,470108,190057,315909
Missouri,2006,24.28670013,42792,5842704,Midwest,182,3989,200838.9828,1824405,42583,747255,829054,258004
Montana,2006,37.4727614,36769,952692,South,296,5863,418565.3052,463827,123310,195464,194307,75135
Nebraska,2006,24.99022673,47056,1772693,Midwest,119,935,40621.55935,588021,54678,230641,227444,131443
Nevada,2006,16.45090218,54797,2522658,South,199,10610,758129.7013,633243,41965,294952,84225,257595
New Hampshire,2006,14.82739461,48857,1308389,Northeast,41,0,0,277415,35996,170847,44807,64738
New Jersey,2006,14.22357028,57666,8661679,Northeast,89,2384,157357.9943,1858689,47668,1201779,116093,566905
New Mexico,2006,30.52793969,41206,1962137,South,621,18067,1127601.577,812327,28082,269457,316221,227661
New York,2006,10.11273131,59961,19104631,Northeast,310,4334,276917.6766,2934346,399772,1578811,256345,1120200
North Carolina,2006,16.664293,46408,8917270,West,114,3430,169120.2833,1927390,139724,922423,777871,230169
North Dakota,2006,78.06942173,42762,649422,Midwest,181,5084,379312.2706,601558,25258,138487,414838,55683
Ohio,2006,23.08118489,44532,11481213,Midwest,649,9853,516862.8384,3512572,75760,1311503,1450797,771312
Oklahoma,2006,30.68927044,39391,3594090,West,2387,36961,3024238.486,1614136,53930,588937,384418,644381
Oregon,2006,10.97828506,45752,3670883,South,142,1939,100558.8979,638117,437558,385903,26895,229731
Pennsylvania,2006,21.9809926,45021,12510809,Northeast,774,18290,1101935.886,3615893,117731,1442364,1499292,684824
Rhode Island,2006,9.87681263,48259,1063096,Northeast,24,0,0,169108,5384,93317,49,78517
South Carolina,2006,20.33114058,37326,4357847,West,63,1282,62723.33987,1166364,100424,554054,432220,181973
South Dakota,2006,17.11294415,42825,783033,Midwest,64,911,49765.98614,196812,71273,118570,39570,40861
Tennessee,2006,21.28510112,42177,6088766,West,128,3347,144604.9615,1693741,150839,799055,677174,230047
Texas,2006,26.94397759,47595,23359580,West,6055,143843,12133474.18,11294039,189865,6176519,1610301,3544789
Utah,2006,27.08367072,44004,2525507,South,383,9054,631544.3579,891352,15015,312508,382757,197894
Vermont,2006,10.75627878,41754,622892,Northeast,55,0,0,96907,27837,89052,27,8064
Virginia,2006,15.97659546,52866,7673725,West,230,11292,685111.5651,1676563,133228,973890,433606,283497
Washington,2006,11.99230295,52900,6370753,South,169,3294,201547.7211,1136223,936325,804080,69150,271034
West Virginia,2006,62.20211914,34009,1827912,West,529,24572,1550199.028,1321709,28825,237063,958880,126316
Wisconsin,2006,18.48447062,45515,5577655,Midwest,148,3857,266025.88,1429893,140171,603496,462732,376559
Wyoming,2006,122.6402279,63428,522667,South,760,24572,1742302.226,769251,19518,167552,489325,112929
Alabama,2007,31.5439861,37522,4672840,West,206,8033,458734.7424,1921310,228650,602699,888436,430649
Alaska,2007,64.67734823,67228,680300,South,102,10593,969108.3136,708067,15011,323194,13662,372186
Arizona,2007,16.52160674,44168,6167681,South,181,11112,620585.7959,1413047,97763,588718,438524,401992
Arkansas,2007,22.25615642,35205,2848650,West,304,6364,344518.2243,865015,121035,360655,275037,229610
California,2007,11.10611161,55154,36250311,South,669,29846,1895668.682,6335056,708754,3882835,66495,2467545
Colorado,2007,20.60839307,52094,4803868,South,1101,28433,1886948.221,1415864,50634,520235,388586,519918
Connecticut,2007,11.39691603,70096,3527270,Northeast,55,2052,88091.34941,601249,36222,389865,39931,183604
Delaware,2007,19.61573802,66344,871749,West,17,242,30665.43715,233751,4945,123407,63839,49937
District of Columbia,2007,5.919178836,167668,574404,West,5,49,4112.936959,55945,728,22269,502,33856
Florida,2007,13.9809565,43506,18367842,West,227,6048,333208.9411,3606057,204322,1950479,720824,943845
Georgia,2007,19.79681685,46374,9349988,West,126,6409,318428.2355,2444428,205633,1059498,934773,455223
Hawaii,2007,18.31759363,51245,1315675,South,8,161,10565.33315,320997,17024,305441,17107,2956
Idaho,2007,10.82980922,37080,1505105,South,135,2951,144473.2482,256903,127363,164615,10261,83904
Illinois,2007,19.14796517,52856,12695866,Midwest,487,11468,571685.8209,3387690,123048,1361679,1091382,980075
Indiana,2007,36.75779622,44145,6379599,Midwest,206,6564,370951.7339,2951877,66033,852413,1572084,547583
Iowa,2007,28.47414588,47504,2999212,Midwest,64,1887,85915.37295,1152356,176011,427601,465167,296207
Kansas,2007,28.77377384,45313,2783785,Midwest,935,12021,570897.3787,1092737,35429,409730,396333,291695
Kentucky,2007,36.85978154,38159,4256672,West,546,22015,1231810.651,1948362,64551,703709,1020709,236003
Louisiana,2007,51.99309532,46878,4375581,West,1229,58526,3693840.582,3819414,150515,2139483,249800,1430621
Maine,2007,15.82469255,38946,1327040,Northeast,28,126,5186.956724,307499,156451,234493,6583,67227
Maryland,2007,13.70854536,52646,5653408,West,73,1686,88000.29571,1068845,58020,549593,327979,208693
Massachusetts,2007,12.42311545,60955,6431559,Northeast,77,1464,69073.54279,1187959,59451,670055,120168,418922
Michigan,2007,18.1876647,41925,10001284,Midwest,374,6366,375783.7881,2537854,139673,944584,801178,814887
Minnesota,2007,19.35780111,51351,5207203,Midwest,124,5992,399411.1882,1442273,150571,700688,366208,395714
Mississippi,2007,23.35786364,32041,2928350,West,316,5590,289872.554,1021664,63934,461954,185063,374990
Missouri,2007,23.89763456,42561,5887612,Midwest,171,3997,182338.1358,1813089,60857,745884,802879,277987
Montana,2007,38.975605,38063,964706,South,294,7837,461573.9622,484247,119558,208512,202480,75077
Nebraska,2007,25.00785,47501,1783440,Midwest,113,1009,46000.74247,600031,63430,232350,216872,153523
Nevada,2007,16.03185148,52818,2601072,South,202,14908,884579.4402,631726,42133,290571,82871,262547
New Hampshire,2007,14.62812562,48618,1312540,Northeast,41,427,18208.67034,275050,38399,168877,44899,64866
New Jersey,2007,15.09584421,57860,8677885,Northeast,87,1960,105710.2401,1995302,52882,1275617,111799,640629
New Mexico,2007,29.69744783,40694,1990070,South,611,19537,1150483.143,814542,31588,279924,296067,239858
